ProductId,Category,Name,Description,Price,Color,ImageUrl,Size,CategoryId
74,SHOES,RUNNING TRAINERS,Running trainers. Chunky sole. Back pull tab. Lace-up fastening. Sole height: 5 cm. / 1.9â€³,36.19,white,"['C:\\DatasetLicenta\\women_images\\RUNNING TRAINERS_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\RUNNING TRAINERS_img_1.jpg']","36, 37, 38, 39, 40",6
75,SHOES,RUNNING TRAINERS,Running trainers. Chunky sole. Lace-up fastening. Sole height: 5 cm. / 1.9â€³,36.19,white,"['C:\\DatasetLicenta\\women_images\\RUNNING TRAINERS_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\RUNNING TRAINERS_img_1.jpg']","36, 37, 38, 39, 40",6
76,SHOES,SPLIT SUEDE LOAFERS WITH BUCKLE,"Split suede flat loafers. Metallic buckle detail on the front.Sole height: 1 cm. / 0.3â€³AIRFITÂ®. Flexible technical latex foam insole, designed to offer greater comfort.View more",54.89,brown,"['C:\\DatasetLicenta\\women_images\\SPLIT SUEDE LOAFERS WITH BUCKLE_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\SPLIT SUEDE LOAFERS WITH BUCKLE_img_1.jpg']","36, 37, 38, 39, 40",6
77,SHOES,TECHNICAL RUNNING TRAINERS,Running trainers. Adjustable elastic drawstring. Pull tab at the back.Sole height: 4.5 cm. / 1.7â€³,76.89,brown,"['C:\\DatasetLicenta\\women_images\\TECHNICAL RUNNING TRAINERS_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\TECHNICAL RUNNING TRAINERS_img_1.jpg']","36, 37, 38, 39, 40",6
78,SHOES,SATIN SANDALS WITH RHINESTONES,Satin high-heel sandals. Thin straps with rhinestones. Round toe. Heel height of 8 cm. / 3.1â€³,54.89,pink,"['C:\\DatasetLicenta\\women_images\\SATIN SANDALS WITH RHINESTONES_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\SATIN SANDALS WITH RHINESTONES_img_1.jpg']","36, 37, 38, 39, 40",6
79,SHOES,KITTEN HEEL SLINGBACK SHOES,"Kitten heel slingback shoes. Buckled strap around the back. Pointed toe. Heel height of 3 cm. / 1.1â€³ AIRFITÂ®. Flexible technical latex foam insole, designed to offer greater comfort.View more",31.79,cr�me,"['C:\\DatasetLicenta\\women_images\\KITTEN HEEL SLINGBACK SHOES_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\KITTEN HEEL SLINGBACK SHOES_img_1.jpg']","36, 37, 38, 39, 40",6
80,SHOES,EMBELLISHED LEATHER SLINGBACK SHOES,Leather heeled slingback shoes. Embellished detail on the front. Strap around the back. Block heel.Heel height of 6 cm. / 2.3â€³,76.89,green,"['C:\\DatasetLicenta\\women_images\\EMBELLISHED LEATHER SLINGBACK SHOES_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\EMBELLISHED LEATHER SLINGBACK SHOES_img_1.jpg']","36, 37, 38, 39, 40",6
81,SHOES,EMBELLISHED BLOCK HEEL SLINGBACK SHOES,"Block heel slingback court shoes. Embellished with metal on the front. Square toe. Adjustable buckle fastening on the back strap. Heel height of 8 cm. / 3.1â€³ AIRFITÂ®. Flexible technical latex foam insole, designed to offer greater comfort.View more",54.89,gold,['C:\\DatasetLicenta\\women_images\\EMBELLISHED BLOCK HEEL SLINGBACK SHOES_img_1.jpg'],"36, 37, 38, 39, 40",6
82,SHOES,FABRIC HIGH-HEEL SANDALS,"Fabric high-heel sandals. Wide strap on the front and thin strap on the instep. Square toe. Heel height: 9.5 cm. / 3.7â€³ AIRFITÂ®. Flexible technical latex foam insole, designed to offer greater comfort.View more",36.19,pink,"['C:\\DatasetLicenta\\women_images\\FABRIC HIGH-HEEL SANDALS_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\FABRIC HIGH-HEEL SANDALS_img_1.jpg']","36, 37, 38, 39, 40",6
83,SWEATERS,KNIT SWEATER WITH ZIP,"Sweater made of a viscose blend. Featuring a high neck with metal zip, long sleeves and matching ribbed trims.",36.19,black,"['C:\\DatasetLicenta\\women_images\\KNIT SWEATER WITH ZIP_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\KNIT SWEATER WITH ZIP_img_1.jpg']","XS, S, M, L",7
84,SWEATERS,OPEN KNIT CAPE,Cape in a textured open knit fabric with an asymmetric neck and sleeve.,36.19,cr�me,"['C:\\DatasetLicenta\\women_images\\OPEN KNIT CAPE_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\OPEN KNIT CAPE_img_1.jpg']","XS, S, M, L",7
85,SWEATERS,CROPPED KNIT SWEATER,Cropped sweater with a round neck and long sleeves. Matching ribbed trims.,32.89,gray,"['C:\\DatasetLicenta\\women_images\\CROPPED KNIT SWEATER_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\CROPPED KNIT SWEATER_img_1.jpg']","XS, S, M, L",7
86,SWEATERS,RIPPED CROPPED KNIT SWEATER,Cropped sweater with a round neck and long sleeves. Ripped details.,32.89,khaki,"['C:\\DatasetLicenta\\women_images\\RIPPED CROPPED KNIT SWEATER_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\RIPPED CROPPED KNIT SWEATER_img_1.jpg']","XS, S, M, L",7
87,SWEATERS,OPEN KNIT POLO SWEATER,Polo sweater with a Johnny collar and long sleeves. Ribbed trims.,32.89,white,"['C:\\DatasetLicenta\\women_images\\OPEN KNIT POLO SWEATER_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\OPEN KNIT POLO SWEATER_img_1.jpg']","XS, S, M, L",7
88,SWEATERS,KNIT CROPPED CARDIGAN,"Cropped cardigan with a round neck, long sleeves, matching ribbed trims and a button-up front.",32.89,cr�me,"['C:\\DatasetLicenta\\women_images\\KNIT CROPPED CARDIGAN_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\KNIT CROPPED CARDIGAN_img_1.jpg']","XS, S, M, L",7
89,SWEATERS,100% WOOL KNIT POLO SWEATER,"Fitted sweater made of 100% extra soft wool. Featuring a polo collar, long sleeves and front button fastening.",54.89,gray,"['C:\\DatasetLicenta\\women_images\\100% WOOL KNIT POLO SWEATER_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\100% WOOL KNIT POLO SWEATER_img_1.jpg']","XS, S, M, L",7
90,SWEATERS,BASIC HIGH NECK KNIT SWEATER,"Sweater featuring a high neck, long sleeves with decorative metal buttons and ribbed trims.",20.79,black,"['C:\\DatasetLicenta\\women_images\\BASIC HIGH NECK KNIT SWEATER_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\BASIC HIGH NECK KNIT SWEATER_img_1.jpg']","XS, S, M, L",7
91,SWEATERS,METALLIC MESH KNIT TOP,Top with a round neck and long sleeves. Matching ribbed trims.,36.19,beige,"['C:\\DatasetLicenta\\women_images\\METALLIC MESH KNIT TOP_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\METALLIC MESH KNIT TOP_img_1.jpg']","XS, S, M, L",7
92,T-SHIRT_TOPS,METALLIC KNIT TOP,Round neck top with short sleeves.,32.89,silver,"['C:\\DatasetLicenta\\women_images\\METALLIC KNIT TOP_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\METALLIC KNIT TOP_img_1.jpg']","XS, S, M, L",8
93,SWEATERS,WOOL BLEND BOXY-FIT KNIT SWEATER,Knit sweater made of a wool blend. Round neck and long sleeves. Matching ribbed trims.,43.89,khaki,"['C:\\DatasetLicenta\\women_images\\WOOL BLEND BOXY-FIT KNIT SWEATER_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\WOOL BLEND BOXY-FIT KNIT SWEATER_img_1.jpg']","XS, S, M, L",7
94,SKIRTS,KNIT MIDI SKIRT,Midi skirt made of a wool and alpaca blend. Featuring an elastic high-waist waistband and side slit at the hem.,36.19,brown,"['C:\\DatasetLicenta\\women_images\\KNIT MIDI SKIRT_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\KNIT MIDI SKIRT_img_1.jpg']","XS, S, M, L",10
95,T-SHIRT_TOPS,FITTED KNIT TOP,Fitted top made of a wool and alpaca blend. Round neck and long sleeves. Matching ribbed trims.,32.89,khaki,"['C:\\DatasetLicenta\\women_images\\FITTED KNIT TOP_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\FITTED KNIT TOP_img_1.jpg']","XS, S, M, L",8
96,T-SHIRT_TOPS,FITTED KNIT TOP,Sleeveless round neck top with a V-neckline and metal hook fastening at the front.,21.89,white,"['C:\\DatasetLicenta\\women_images\\FITTED KNIT TOP_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\FITTED KNIT TOP_img_1.jpg']","XS, S, M, L",8
97,DRESSES_JUMPSUITS,PRINTED KNIT DRESS,Fitted midi dress with a straight-cut neckline and thin straps.,32.89,brown,"['C:\\DatasetLicenta\\women_images\\PRINTED KNIT DRESS_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\PRINTED KNIT DRESS_img_1.jpg']","XS, S, M, L",8
98,SWEATERS,KNIT DRESS WITH RHINESTONE STRAPS,Knit midi dress with a V-neckline. Thin straps that cross at the back in a metal chain with rhinestone appliquÃ©s. A-line hem.,54.89,black,"['C:\\DatasetLicenta\\women_images\\KNIT DRESS WITH RHINESTONE STRAPS_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\KNIT DRESS WITH RHINESTONE STRAPS_img_1.jpg']","XS, S, M, L",7
99,T-SHIRT_TOPS,FITTED KNIT TOP,Long sleeve V-neck fitted top with metal hook fastening at the front.,28.49,black,"['C:\\DatasetLicenta\\women_images\\FITTED KNIT TOP_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\FITTED KNIT TOP_img_1.jpg']","XS, S, M, L",8
100,SWEATERS,POINTELLE KNIT SWEATER,Open knit sweater with a round neck and long sleeves.,32.89,beige,"['C:\\DatasetLicenta\\women_images\\POINTELLE KNIT SWEATER_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\POINTELLE KNIT SWEATER_img_1.jpg']","XS, S, M, L",7
101,SWEATERS,KNIT SWEATER WITH ASYMMETRIC HEM,Round neck sweater with long sleeves. Visible seam details. Asymmetric frayed hem.,32.89,beige,"['C:\\DatasetLicenta\\women_images\\KNIT SWEATER WITH ASYMMETRIC HEM_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\KNIT SWEATER WITH ASYMMETRIC HEM_img_1.jpg']","XS, S, M, L",7
102,T-SHIRT_TOPS,KNIT BUSTIER TOP,Crop top with a sweetheart neckline. Side zip-up fastening.,25.19,black,"['C:\\DatasetLicenta\\women_images\\KNIT BUSTIER TOP_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\KNIT BUSTIER TOP_img_1.jpg']","XS, S, M, L",8
103,T-SHIRT_TOPS,RIBBED KNIT CROP TOP,Round neck top with wide straps.,17.49,black,"['C:\\DatasetLicenta\\women_images\\RIBBED KNIT CROP TOP_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\RIBBED KNIT CROP TOP_img_1.jpg']","XS, S, M, L",8
104,T-SHIRT_TOPS,METALLIC THREAD KNIT TOP,Sleeveless top with a round neckline and metallic thread detail.,20.79,pink,"['C:\\DatasetLicenta\\women_images\\METALLIC THREAD KNIT TOP_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\METALLIC THREAD KNIT TOP_img_1.jpg']","XS, S, M, L",8
105,T-SHIRT_TOPS,KNIT TOP WITH OPEN BACK,Halterneck crop top with thin tied straps at the back.,20.79,silver,"['C:\\DatasetLicenta\\women_images\\KNIT TOP WITH OPEN BACK_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\KNIT TOP WITH OPEN BACK_img_1.jpg']","XS, S, M, L",8
106,SWEATERS,LINEN BLEND KNIT SWEATER,Cropped sweater made of a linen blend. Round neck and long sleeves.,36.19,beige,"['C:\\DatasetLicenta\\women_images\\LINEN BLEND KNIT SWEATER_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\LINEN BLEND KNIT SWEATER_img_1.jpg']","XS, S, M, L",7
107,T-SHIRT_TOPS,SEQUINNED KNIT TOP,Sleeveless top with a round neck. Matching sequin details.,32.89,white,"['C:\\DatasetLicenta\\women_images\\SEQUINNED KNIT TOP_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\SEQUINNED KNIT TOP_img_1.jpg']","XS, S, M, L",8
108,SWEATERS,CROPPED KNIT SWEATER,Cropped sweater with a round neck and long sleeves.,32.89,dark blue,"['C:\\DatasetLicenta\\women_images\\CROPPED KNIT SWEATER_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\CROPPED KNIT SWEATER_img_1.jpg']","XS, S, M, L",7
109,SWEATERS,METALLIC THREAD KNIT TOP WITH FRINGING,Sleeveless top with a round neck. Metallic thread detail. Fringing at the hem.,21.89,black,"['C:\\DatasetLicenta\\women_images\\METALLIC THREAD KNIT TOP WITH FRINGING_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\METALLIC THREAD KNIT TOP WITH FRINGING_img_1.jpg']","XS, S, M, L",7
110,T-SHIRT_TOPS,KNIT CROSSOVER HALTER TOP,Crossover halterneck top with wide straps.,21.89,black,"['C:\\DatasetLicenta\\women_images\\KNIT CROSSOVER HALTER TOP_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\KNIT CROSSOVER HALTER TOP_img_1.jpg']","XS, S, M, L",8
111,T-SHIRT_TOPS,METALLIC MESH KNIT TOP,Sleeveless round neck top.,25.19,brown,"['C:\\DatasetLicenta\\women_images\\METALLIC MESH KNIT TOP_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\METALLIC MESH KNIT TOP_img_1.jpg']","XS, S, M, L",8
112,T-SHIRT_TOPS,METALLIC THREAD KNIT TOP,Sleeveless round neck top.This garment is not lined.,20.79,silver,"['C:\\DatasetLicenta\\women_images\\METALLIC THREAD KNIT TOP_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\METALLIC THREAD KNIT TOP_img_1.jpg']","XS, S, M, L",8
113,SKIRTS,KNIT SEMI-SHEER STRAIGHT SKIRT,High-waist skirt with an elastic waistband.This garment is not lined.,32.89,white,"['C:\\DatasetLicenta\\women_images\\KNIT SEMI-SHEER STRAIGHT SKIRT_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\KNIT SEMI-SHEER STRAIGHT SKIRT_img_1.jpg']","XS, S, M, L",10
114,SKIRTS,POINTELLE KNIT MINI SKIRT,High-waist skirt featuring an adjustable elasticated waistband with drawstrings. Ruffled hem.,28.49,black,"['C:\\DatasetLicenta\\women_images\\POINTELLE KNIT MINI SKIRT_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\POINTELLE KNIT MINI SKIRT_img_1.jpg']","XS, S, M, L",10
115,T-SHIRT_TOPS,OVERSIZE KNIT T-SHIRT,V-neck shirt with short sleeves.,21.89,brown,"['C:\\DatasetLicenta\\women_images\\OVERSIZE KNIT T-SHIRT_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\OVERSIZE KNIT T-SHIRT_img_1.jpg']","XS, S, M, L",8
116,T-SHIRT_TOPS,CUT-OUT KNIT TOP,Sleeveless round neck crop top with cut-out detail on the sides and rhinestone appliquÃ©.,25.19,white,"['C:\\DatasetLicenta\\women_images\\CUT-OUT KNIT TOP_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\CUT-OUT KNIT TOP_img_1.jpg']","XS, S, M, L",8
117,SKIRTS,KNOTTED KNIT SKIRT WITH METALLIC THREAD,Midi skirt with a front knot. Front slit at the hem. Metallic thread detail.,32.89,brown,"['C:\\DatasetLicenta\\women_images\\KNOTTED KNIT SKIRT WITH METALLIC THREAD_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\KNOTTED KNIT SKIRT WITH METALLIC THREAD_img_1.jpg']","XS, S, M, L",10
118,SKIRTS,KNIT CUT-OUT SKIRT,"High-waist midi skirt featuring an elasticated waistband with side cut-out detail, rhinestone appliquÃ© and a side slit at the hem.",31.79,white,"['C:\\DatasetLicenta\\women_images\\KNIT CUT-OUT SKIRT_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\KNIT CUT-OUT SKIRT_img_1.jpg']","XS, S, M, L",10
119,SKIRTS,KNIT CROCHET MINI SKIRT,High-waist short skirt.,25.19,black,"['C:\\DatasetLicenta\\women_images\\KNIT CROCHET MINI SKIRT_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\KNIT CROCHET MINI SKIRT_img_1.jpg']","XS, S, M, L",10
120,SKIRTS,TIE-DYE KNIT MIDI SKIRT,High-waist pencil skirt with an elastic waistband.,25.19,orange,"['C:\\DatasetLicenta\\women_images\\TIE-DYE KNIT MIDI SKIRT_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\TIE-DYE KNIT MIDI SKIRT_img_1.jpg']","XS, S, M, L",10
121,T-SHIRT_TOPS,METALLIC THREAD KNIT CROP TOP,Top with a round neck and long sleeves. Cutwork and metallic thread detail.,28.49,yellow,"['C:\\DatasetLicenta\\women_images\\METALLIC THREAD KNIT CROP TOP_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\METALLIC THREAD KNIT CROP TOP_img_1.jpg']","XS, S, M, L",8
122,T-SHIRT_TOPS,CONTRAST TOP,Crop top with a straight neckline with a drawstring. Short sleeves and wide straps with exposed shoulders. Ruffled trims and matching embroidery.,28.49,cr�me,"['C:\\DatasetLicenta\\women_images\\CONTRAST TOP_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\CONTRAST TOP_img_1.jpg']","XS, S, M, L",8
123,T-SHIRT_TOPS,CONTRAST TOP,Crop top with a straight neckline with a drawstring. Short sleeves and wide straps with exposed shoulders. Ruffled trims and matching embroidery.,28.49,cr�me,"['C:\\DatasetLicenta\\women_images\\CONTRAST TOP_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\CONTRAST TOP_img_1.jpg']","XS, S, M, L",8
